Subject,Item,Status,Manipulability,Actual RT,Accuracy
46,potter1,New,NA,588,1
46,shark,Old,nonmanipulable,518,1
46,potter27,New,NA,916,1
46,saturn,Old,nonmanipulable,508,1
46,mug,New,manipulable,666,1
46,Laine-vemmel,New,NA,635,1
46,Laine-PALIN,Old,NA,523,1
46,cane,New,manipulable,596,1
50,tepee,Old,nonmanipulable,784,1
50,potter24,New,NA,687,1
50,Laine-LUISTI,New,NA,805,1
50,bellows,New,manipulable,707,1
50,potter9,Old,NA,672,0
50,legos,Old,manipulable,707,1
50,heater,New,nonmanipulable,729,1
50,Laine-RIITMOTT,Old,NA,674,1
50,mouse,New,manipulable,641,1
50,Eals23,Old,NA,742,0
50,whisk,New,manipulable,698,1
50,razor,New,manipulable,668,1
50,Plank17,Old,NA,714,1
50,chimney,Old,nonmanipulable,635,1
50,Eals14,New,NA,763,0
50,sloth,Old,nonmanipulable,683,1
50,stamp,New,manipulable,713,1
50,battery,New,manipulable,787,0
50,Laine-HOYLA,New,NA,765,0
50,Eals08,Old,NA,684,1
50,whale,New,nonmanipulable,722,1
50,Eals12,New,NA,674,1
50,potter12,Old,NA,713,1
50,potter16,New,NA,698,1
50,needle,Old,manipulable,640,1
50,frisbee,New,manipulable,661,1
50,moose,New,nonmanipulable,716,1
50,kirk1,Old,NA,701,1
50,Eals19,New,NA,690,0
50,Plank45,New,NA,564,1
50,drawer,New,nonmanipulable,503,1
50,Laine-ROVE,Old,NA,809,0
50,potter11,New,NA,721,1
50,headphones,Old,manipulable,698,0
50,ruler,Old,manipulable,680,1
50,Laine-AMPUUSI,New,NA,714,1
50,potter17,Old,NA,688,1
50,battleship,Old,nonmanipulable,650,1
50,Plank25,New,NA,714,1
50,Plank36,New,NA,619,1
50,Eals22,Old,NA,716,1
50,jellyfish,New,nonmanipulable,789,0
50,Plank4,Old,NA,639,0
50,yo-yo,Old,manipulable,666,1
50,ladybug,Old,nonmanipulable,673,0
50,Eals26,New,NA,620,1
50,crab,Old,nonmanipulable,541,1
50,potter22,Old,NA,766,0
50,Laine-JYRSIN,Old,NA,865,0
50,bucket,New,manipulable,920,1
50,Plank5,Old,NA,713,1
50,fountain,New,nonmanipulable,737,1
50,cymbals,New,manipulable,748,1
50,watering-can,Old,manipulable,868,0
50,Plank11,New,NA,804,1
50,starfish,New,nonmanipulable,722,1
50,Laine-karttu,Old,NA,678,0
50,ram,New,nonmanipulable,744,1
50,Plank37,New,NA,868,1
50,potter7,Old,NA,695,1
50,Plank13,Old,NA,693,1
50,hamster,Old,nonmanipulable,759,1
50,pitcher,New,manipulable,698,1
50,teapot,Old,manipulable,700,0
50,potter26,Old,NA,738,1
50,Plank3,Old,NA,730,1
50,Laine-tuura,New,NA,790,0
50,matches,Old,manipulable,920,1
50,potter14,New,NA,720,1
50,hippopotamus,Old,nonmanipulable,752,1
50,potter6,New,NA,788,1
50,frog,New,nonmanipulable,762,1
50,floss,Old,manipulable,797,1
50,firetruck,New,nonmanipulable,763,1
50,Laine-NORHA,Old,NA,854,1
50,camcorder,Old,manipulable,846,1
50,weasel,New,nonmanipulable,898,1
50,Laine-KALKKU,Old,NA,736,1
50,potter8,Old,NA,921,1
50,Laine-LAVISTIN,New,NA,865,1
50,tank,New,nonmanipulable,832,1
50,bottle,New,manipulable,680,0
50,Laine-naskain,Old,NA,714,1
50,llama,Old,nonmanipulable,735,0
50,toaster,New,manipulable,720,1
50,Plank48,New,NA,756,1
50,potter3,New,NA,676,0
50,Plank49,Old,NA,691,0
50,dolphin,Old,nonmanipulable,949,0
50,trombone,Old,manipulable,769,1
50,brain,New,nonmanipulable,816,1
50,potter15,Old,NA,617,0
50,satellite,New,nonmanipulable,726,1
50,tape,Old,manipulable,779,0
50,stoplight,Old,nonmanipulable,713,1
50,Laine-MAALITSA,Old,NA,982,0
50,Laine-LISTIN,New,NA,748,1
50,Laine-kosseli,Old,NA,744,0
50,mammoth,New,nonmanipulable,731,0
50,platypus,Old,nonmanipulable,755,1
50,Laine-pynna,Old,NA,791,1
50,compass,New,manipulable,765,1
50,potter4,New,NA,736,1
50,Plank50,Old,NA,953,1
50,hose,Old,manipulable,781,1
50,barbell,Old,manipulable,755,1
50,Laine-HAAHLA,New,NA,695,1
50,seaturtle,New,nonmanipulable,1017,0
50,plank108,New,NA,762,1
50,lighthouse,Old,nonmanipulable,976,1
50,Laine-liippa,New,NA,770,1
